rideable_type,day_of_week,month,season,trip_duration_mins,hour,trips,day_of_month
0,2,5,1,29,18,9,23
0,1,4,1,26,7,2,3
0,1,10,3,24,20,2,2
0,6,12,0,14,20,4,9
0,2,10,3,77,23,1,17
0,2,9,3,4,8,42,19
1,5,4,1,25,20,3,14
0,2,5,1,6,19,42,30
1,6,6,2,15,20,9,17
1,0,7,2,166,14,1,16
1,2,2,0,34,18,1,14
1,6,6,2,35,10,3,24
1,1,7,2,23,22,4,17
1,5,11,3,14,6,2,17
1,3,11,3,25,23,1,1
1,5,5,1,16,8,2,12
1,4,12,0,44,16,1,14
0,0,11,3,160,12,1,5
0,5,5,1,12,17,17,12
1,5,4,1,2,16,1,28
0,5,11,3,8,0,1,17
1,6,3,1,12,8,2,11
0,2,12,0,13,14,2,26
0,2,7,2,45,7,2,4
1,1,10,3,4,2,1,2
1,4,6,2,17,16,5,29
0,3,5,1,15,9,3,31
0,5,3,1,78,18,1,24
0,1,4,1,3,1,1,10
0,5,3,1,15,9,1,3
0,6,4,1,19,20,1,22
0,5,3,1,4,7,7,24
1,3,10,3,25,22,1,4
0,6,11,3,46,20,1,11
1,0,5,1,26,14,6,7
0,1,9,3,21,16,13,18
1,6,10,3,10,1,3,28
1,0,12,0,2,17,6,17
0,5,12,0,13,18,7,1
1,4,11,3,41,11,2,30
1,1,1,0,7,7,22,9
0,3,1,0,25,15,3,18
0,5,12,0,11,14,9,29
1,6,4,1,34,18,1,8
0,6,6,2,12,23,11,3
0,1,3,1,3,1,2,27
1,0,9,3,16,20,5,10
0,2,8,2,52,11,1,8
0,4,12,0,24,8,1,7
0,4,9,3,49,14,1,14
1,2,2,0,54,10,1,28
1,5,5,1,16,17,11,26
1,6,11,3,36,5,1,4
1,1,8,2,9,1,5,7
1,6,7,2,35,21,1,8
0,3,5,1,48,12,1,17
1,1,7,2,46,18,4,24
0,0,6,2,40,6,1,11
0,5,11,3,11,7,3,17
1,1,7,2,22,8,3,24
1,3,9,3,99,11,2,20
1,6,3,1,19,8,1,4
0,5,6,2,22,23,2,2
0,2,10,3,4,3,1,17
