rideable_type,member_casual,day_of_week,month,season,trip_duration_mins,hour,day_of_month
0,0,5,2,0,13,16,17
0,1,6,1,0,2,23,21
1,0,6,2,0,4,10,4
0,1,6,4,1,21,3,15
1,0,6,4,1,79,9,15
0,1,0,1,0,4,17,29
1,1,4,2,0,9,8,9
1,0,3,6,2,33,23,21
1,0,4,8,2,40,16,10
1,0,3,6,2,11,16,14
1,0,2,5,1,15,19,16
1,0,6,7,2,55,18,15
0,0,0,7,2,2,17,30
0,0,3,10,3,7,4,4
1,1,6,4,1,19,12,8
0,0,4,11,3,8,13,16
0,1,3,10,3,70,9,4
0,0,4,6,2,16,12,29
1,1,4,10,3,5,19,26
1,1,5,4,1,72,17,14
0,1,6,1,0,24,17,14
1,1,0,4,1,2,15,23
1,1,3,11,3,38,10,8
1,0,0,7,2,167,13,23
0,0,5,9,3,71,13,29
1,0,1,8,2,8,22,28
1,0,3,5,1,6,0,24
1,0,0,5,1,8,16,14
1,1,6,12,0,24,21,2
0,1,1,8,2,28,11,7
0,0,6,5,1,76,18,27
0,0,5,7,2,32,20,7
0,0,2,2,0,8,8,14
0,0,6,2,0,2,20,11
1,0,5,2,0,15,23,10
0,0,6,10,3,19,19,14
1,1,1,7,2,39,19,31
1,0,4,1,0,5,16,5
1,0,6,9,3,3,1,2
1,0,0,8,2,4,19,27
0,1,6,11,3,8,3,4
1,0,6,6,2,27,10,24
0,0,5,9,3,40,17,29
0,0,4,5,1,28,15,4
0,1,5,3,1,3,0,31
0,1,2,7,2,13,11,25
1,0,3,10,3,14,21,25
1,1,5,6,2,29,21,23
1,0,5,6,2,153,13,9
0,0,4,8,2,5,6,3
0,0,2,4,1,23,10,18
1,0,0,4,1,93,15,2
0,0,6,7,2,2,6,22
0,1,0,11,3,38,2,19
0,1,0,10,3,13,16,22
1,1,5,7,2,8,8,14
0,0,6,4,1,97,2,15
1,1,5,3,1,25,23,17
0,0,0,11,3,3,13,5
0,0,6,4,1,38,1,15
1,1,5,5,1,33,9,5
0,0,0,10,3,118,13,8
0,0,3,8,2,3,14,9
1,1,0,7,2,11,14,30
1,0,6,5,1,53,9,20
1,0,3,9,3,3,6,27
0,1,0,6,2,43,10,4
0,1,4,1,0,3,13,19
1,0,6,5,1,44,19,27
0,1,6,6,2,11,18,10
1,0,0,6,2,91,8,4
0,1,1,5,1,28,6,22
0,1,5,4,1,7,0,14
1,1,5,3,1,11,20,31
1,1,6,10,3,2,16,7
1,0,0,9,3,39,7,10
1,0,6,6,2,22,18,10
1,1,2,7,2,29,15,25
1,0,4,6,2,49,19,1
0,0,4,11,3,16,23,30
1,0,2,5,1,6,5,2
0,1,0,6,2,24,11,18
1,0,2,8,2,6,23,29
